item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1," ragazzi , lasciate la finestra aperta ."," guys , you leave the window open .", voi fate entrare il gatto ., you all let the cat in ., fate entrare il gatto ., let the cat in ., fate, let
2," studenti , superate l ’ esame finale ."," students , you pass the final exam .", voi studiate tutta la notte ., you all study all night ., studiate tutta la notte ., study all night ., studiate, study
3," squadra , vincete il torneo ."," team , you win the tournament .", voi giocate in modo eccezionale ., you all play exceptionally ., giocate in modo eccezionale ., play exceptionally ., giocate, play
4," collaboratori , consegnate il progetto ."," colleagues , you submit the project .", voi rispettate la scadenza ., you all you meet the deadline ., rispettate la scadenza ., meet the deadline ., rispettate, meet
5," amici , prenotate il ristorante ."," friends , you book the restaurant .", voi scegliete un posto romantico ., you all choose a romantic spot ., scegliete un posto romantico ., choose a romantic spot ., scegliete, choose
6," viaggiatori , perdete l ’ autobus ."," travelers , you miss the bus .", voi confondete l ’ orario ., you all mix up the schedule ., confondete l ’ orario ., mix up the schedule ., confondete, mix up
7," clienti , ricevete lo sconto ."," customers , you receive the discount .", voi approfittate dell ’ offerta ., you all take advantage of the deal ., approfittate dell ’ offerta ., take advantage of the deal ., approfittate, take advantage
8," genitori , firmate il permesso ."," parents , you sign the permission slip .", voi dimenticate la data ., you all forget the date ., dimenticate la data ., forget the date ., dimenticate, forget
9," turisti , visitate il museo ."," tourists , you visit the museum .", voi preferite le opere moderne ., you all prefer the modern artworks ., preferite le opere moderne ., prefer the modern artworks ., preferite, prefer
10," dipendenti , completate il corso ."," employees , you complete the training .", voi imparate tecniche nuove ., you all learn new techniques ., imparate tecniche nuove ., learn new techniques ., imparate, learn
11," concittadini , protestate per le strade ."," fellow citizens , you protest in the streets .", voi chiedete più trasparenza ., you all demand more transparency ., chiedete più trasparenza ., demand more transparency ., chiedete, demand
12," atleti , correte la maratona ."," athletes , you run the marathon .", voi battete il record ., you all break the record ., battete il record ., break the record ., battete, break
