item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1," luca , dimentichi le chiavi spesso ."," luca , you forget the keys often .", tu prendi le chiavi prima di uscire ., you take the keys before leaving ., prendi le chiavi prima di uscire ., take the keys before leaving ., prendi, take
2," marco , vedi il nuovo film stasera ."," marco , you see the new movie tonight .", tu preferisci le trame complesse ., you prefer complex plots ., preferisci le trame complesse ., prefer complex plots ., preferisci, prefer
3," sara , cucini la cena velocemente ."," sara , you cook dinner quickly .", tu usi troppe spezie ., you use too many spices ., usi troppe spezie ., use too many spices ., usi, use
4," giulia , finisci il rapporto oggi ."," giulia , you finish the report today .", tu includi tutti i dati ., you include all the data ., includi tutti i dati ., include all the data ., includi, include
5," paolo , scegli il regalo stasera ."," paolo , you choose the gift tonight .", tu consideri i suoi gusti ., you consider their tastes ., consideri i suoi gusti ., consider their tastes ., consideri, consider
6," elena , ascolti la nuova canzone ."," elena , you listen to the new song .", tu apprezzi il ritmo ., you appreciate the rhythm ., apprezzi il ritmo ., appreciate the rhythm ., apprezzi, appreciate
7," roberto , leggi il libro consigliato ."," roberto , you read the recommended book .", tu trovi il finale sorprendente ., you find the ending surprising ., trovi il finale sorprendente ., find the ending surprising ., trovi, find
8," laura , ordini il cibo per la festa ."," laura , you order the food for the party .", tu selezioni piatti vegetariani ., you select vegetarian dishes ., selezioni piatti vegetariani ., select vegetarian dishes ., selezioni, select
9," matteo , completi il puzzle oggi ."," matteo , you complete the puzzle today .", tu impieghi solo un ’ ora ., you take only an hour ., impieghi solo un ’ ora ., take only an hour ., impieghi, take
10," chiara , organizzi l ’ evento domani ."," chiara , you organize the event tomorrow .", tu coordini tutti i dettagli ., you coordinate all the details ., coordini tutti i dettagli ., coordinate all the details ., coordini, coordinate
11," antonio , ripari la bicicletta ."," antonio , you fix the bicycle .", tu sostituisci la catena rotta ., you replace the broken chain ., sostituisci la catena rotta ., replace the broken chain ., sostituisci, replace
12," francesca , pianti i fiori oggi ."," francesca , you plant the flowers today .", tu scegli colori vivaci ., you choose bright colors ., scegli colori vivaci ., choose bright colors ., scegli, choose
