item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, ho appena finito il progetto ., i just finished the project ., io credo che il risultato sia soddisfacente ., i believe that the result is satisfactory ., credo che il risultato sia soddisfacente ., believe that the result is satisfactory ., credo, believe
2, ho visto il nuovo film ., i saw the new movie ., io penso che la trama sia originale ., i think that the plot is original ., penso che la trama sia originale ., think that the plot is original ., penso, think
3, ho letto il tuo messaggio ., i read your message ., io capisco le tue preoccupazioni ., i understand your concerns ., capisco le tue preoccupazioni ., understand your concerns ., capisco, understand
4, ho ascoltato la tua proposta ., i listened to your proposal ., io accetto le tue condizioni ., i accept your terms ., accetto le tue condizioni ., accept your terms ., accetto, accept
5, ho visitato la mostra d ' arte ., i visited the art exhibition ., io apprezzo lo stile dell ' artista ., i appreciate the artist ' s style ., apprezzo lo stile dell ' artista ., appreciate the artist ' s style ., apprezzo, appreciate
6, ho controllato i dati ., i checked the data ., io confermo l ' accuratezza dei numeri ., i confirm the accuracy of the numbers ., confermo l ' accuratezza dei numeri ., confirm the accuracy of the numbers ., confermo, confirm
7, ho preparato la cena ., i prepared dinner ., io spero che il gusto sia buono ., i hope that the taste is good ., spero che il gusto sia buono ., hope that the taste is good ., spero, hope
8, ho ricevuto il pacco ., i received the package ., io verifico il contenuto ., i check the contents ., verifico il contenuto ., check the contents ., verifico, check
9, ho completato l ' esercizio ., i completed the exercise ., io sento che ho migliorato ., i feel that i have improved ., sento che ho migliorato ., feel that have improved ., sento, feel
10, ho incontrato il nuovo collega ., i met the new colleague ., io trovo la sua presenza motivante ., i find his presence motivating ., trovo la sua presenza motivante ., find his presence motivating ., trovo, find
11, ho analizzato il problema ., i analyzed the problem ., io suggerisco una soluzione alternativa ., i suggest an alternative solution ., suggerisco una soluzione alternativa ., suggest an alternative solution ., suggerisco, suggest
12, ho seguito il corso online ., i took the online course ., io imparo molte cose nuove ., i learn many new things ., imparo molte cose nuove ., learn many new things ., imparo, learn
