item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, luca ordina una pizza ., luca orders a pizza ., luca dice che lui prepara la cena ., luca says that he prepares dinner ., luca dice che prepara la cena ., luca says that prepares dinner ., prepara, prepares
2, i bambini guardano un cartone ., the children watch a cartoon ., i bambini dicono che loro finiscono i compiti ., the children say that they finish their homework ., i bambini dicono che finiscono i compiti ., the children say that finish their homework ., finiscono, finish
3, marta beve un caffè ., marta drinks a coffee ., marta afferma che lei legge il giornale ., marta claims that she reads the newspaper ., marta afferma che legge il giornale ., marta claims that reads the newspaper ., legge, reads
4, il direttore riceve un messaggio ., the director receives a message ., il direttore conferma che lui firma il contratto ., the director confirms that he signs the contract ., il direttore conferma che firma il contratto ., the director confirms that signs the contract ., firma, signs
5, gli studenti ascoltano una lezione ., the students listen to a lecture ., gli studenti sostengono che loro studiano la lezione ., the students maintain that they study the lesson ., gli studenti sostengono che studiano la lezione ., the students maintain that study the lesson ., studiano, study
6, carla compra un libro ., carla buys a book ., carla ammette che lei scrive una lettera ., carla admits that she writes a letter ., carla ammette che scrive una lettera ., carla admits that writes a letter ., scrive, writes
7, il professore discute con un collega ., the professor talks with a colleague ., il professore dichiara che lui spiega il teorema ., the professor declares that he explains the theorem ., il professore dichiara che spiega il teorema ., the professor declares that explains the theorem ., spiega, explains
8, le ragazze ballano in salotto ., the girls dance in the living room ., le ragazze raccontano che loro cantano una canzone ., the girls recount that they sing a song ., le ragazze raccontano che cantano una canzone ., the girls recount that sing a song ., cantano, sing
9, paolo corre nel parco ., paolo runs in the park ., paolo sostiene che lui risolve il problema ., paolo argues that he solves the problem ., paolo sostiene che risolve il problema ., paolo argues that solves the problem ., risolve, solves
10, i medici parlano al telefono ., the doctors talk on the phone ., i medici spiegano che loro visitano il paziente ., the doctors explain that they examine the patient ., i medici spiegano che visitano il paziente ., the doctors explain that examine the patient ., visitano, examine
11, elena cucina una torta ., elena bakes a cake ., elena rivela che lei disegna un ritratto ., elena reveals that she draws a portrait ., elena rivela che disegna un ritratto ., elena reveals that draws a portrait ., disegna, draws
12, l ' ingegnere viaggia in treno ., the engineer travels by train ., l ' ingegnere assicura che lui progetta un ponte ., the engineer assures that he designs a bridge ., l ' ingegnere assicura che progetta un ponte ., the engineer assures that designs a bridge ., progetta, designs
