item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, luca ha fame ., luca is hungry ., luca apre il frigo e lui prende un panino ., luca opens the fridge and he takes a sandwich ., luca apre il frigo e prende un panino ., luca opens the fridge and takes a sandwich ., prende, takes
2, maria è stanca ., maria is tired ., maria si siede sul divano e lei accende la tv ., maria sits on the couch and she turns on the tv ., maria si siede sul divano e accende la tv ., maria sits on the couch and turns on the tv ., accende, turns
3, paolo ha sonno ., paolo is sleepy ., paolo spegne la luce e lui si mette a letto ., paolo turns off the light and he gets into bed ., paolo spegne la luce e si mette a letto ., paolo turns off the light and gets into bed ., si mette, gets
4, elena è felice ., elena is happy ., elena chiama un ’ amica e lei racconta la notizia ., elena calls a friend and she shares the news ., elena chiama un ’ amica e racconta la notizia ., elena calls a friend and shares the news ., racconta, shares
5, marco è in ritardo ., marco is late ., marco corre alla fermata e lui salta sull ’ autobus ., marco runs to the stop and he jumps on the bus ., marco corre alla fermata e salta sull ’ autobus ., marco runs to the stop and jumps on the bus ., salta, jumps
6, sara ha freddo ., sara is cold ., sara indossa un maglione e lei si avvicina al camino ., sara puts on a sweater and she moves near the fireplace ., sara indossa un maglione e si avvicina al camino ., sara puts on a sweater and moves near the fireplace ., si avvicina, moves
7, antonio è nervoso ., antonio is nervous ., antonio fa un respiro profondo e lui conta fino a dieci ., antonio takes a deep breath and he counts to ten ., antonio fa un respiro profondo e conta fino a dieci ., antonio takes a deep breath and counts to ten ., conta, counts
8, laura è curiosa ., laura is curious ., laura apre il pacchetto e lei sorride ., laura opens the package and she smiles ., laura apre il pacchetto e sorride ., laura opens the package and smiles ., sorride, smiles
9, roberto è confuso ., roberto is confused ., roberto legge le istruzioni e lui annuisce ., roberto reads the instructions and he nods ., roberto legge le istruzioni e annuisce ., roberto reads the instructions and nods ., annuisce, nods
10, giulia ha sete ., giulia is thirsty ., giulia versa un bicchiere d ’ acqua e lei beve ., giulia pours a glass of water and she drinks ., giulia versa un bicchiere d ’ acqua e beve ., giulia pours a glass of water and drinks ., beve, drinks
11, carlo è annoiato ., carlo is bored ., carlo prende un libro e lui inizia a leggere ., carlo picks up a book and he starts reading ., carlo prende un libro e inizia a leggere ., carlo picks up a book and starts reading ., leggere, reading
12, francesca è sorpresa ., francesca is surprised ., francesca alza le sopracciglia e lei sussurra ., francesca raises her eyebrows and she whispers ., francesca alza le sopracciglia e sussurra ., francesca raises her eyebrows and whispers ., sussurra, whispers
