item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, marta ha vinto il premio ., marta won the award ., lei mostra orgoglio ., she shows pride ., mostra orgoglio ., shows pride ., mostra, shows
2, il professore corregge i compiti ., the professor grades assignments ., lui rispetta le scadenze ., he respects deadlines ., rispetta le scadenze ., respects deadlines ., rispetta, respects
3, la macchina si è rotta ., the car broke down ., lei richiede riparazioni ., it requires repairs ., richiede riparazioni ., requires repairs ., richiede, requires
4, paolo ha perso il volo ., paolo missed his flight ., lui cerca un taxi ., he looks for a taxi ., cerca un taxi ., looks for a taxi ., cerca, looks
5, la riunione è finita ., the meeting ended ., lei dura tre ore ., it lasted three hours ., dura tre ore ., lasts three hours ., dura, lasts
6, il cane abbaia ., the dog barks ., lui disturba i vicini ., he disturbs the neighbors ., disturba i vicini ., disturbs the neighbors ., disturba, disturbs
7, sofia compra un regalo ., sofia buys a gift ., lei tiene il regalo ., she keeps the gift ., tiene il regalo ., keeps the gift ., tiene, keeps
8, il concerto è annullato ., the concert is canceled ., lui costa molto ., it costs a lot ., costa molto ., costs a lot ., costa, costs
9, il bambino rompe il vaso ., the child breaks the vase ., lui chiede scusa ., he apologizes ., chiede scusa ., apologizes ., chiede, apologizes
10, la pizza brucia ., the pizza burns ., lei resta nel forno ., it stays in the oven ., resta nel forno ., stays in the oven ., resta, stays
11, luca dimentica le chiavi ., luca forgets his keys ., lui torna a casa ., he returns home ., torna a casa ., returns home ., torna, returns
12, la lettera arriva ., the letter arrives ., lei contiene informazioni ., it contains information ., contiene informazioni ., contains information ., contiente, contains
