item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, il paziente è esausto dopo l ’ intervento ., the patient is exhausted after surgery ., il medico esorta il paziente lui riposare ., the doctor urges the patient him to rest ., il medico esorta il paziente riposare ., the doctor urges the patient to rest ., riposare, lui
2, il testimone ha paura di dire la verità ., the witness is afraid to tell the truth ., l ’ avvocato costringe il testimone lui mentire ., the lawyer forces the witness him to lie ., l ’ avvocato costringe il testimone mentire ., the lawyer forces the witness to lie ., mentire, lui
3, i bambini sono distratti durante i compiti ., the children are distracted during homework ., la mamma obbliga i figli loro concentrarsi ., the mom obliges the children them to focus ., la mamma obbliga i figli concentrarsi ., the mom obliges the children to focus ., concentrarsi, loro
4, i dipendenti lavorano troppo lentamente ., the employees work too slowly ., il capo incita i dipendenti loro accelerare ., the boss encourages the employees them to speed up ., il capo incita i dipendenti accelerare ., the boss encourages the employees to speed up ., accelerare, loro
5, gli studenti non partecipano alle discussioni ., the students don ’ t participate in discussions ., il professore invita gli studenti loro intervenire ., the professor invites the students them to participate ., il professore invita gli studenti intervenire ., the professor invites the students to participate ., intervenire, loro
6, i sospetti cercano di fuggire ., the suspects are trying to flee ., il poliziotto vieta ai sospetti loro scappare ., the policeman forbids the suspects them to flee ., il poliziotto vieta ai sospetti scappare ., the policeman forbids the suspects to flee ., scappare, loro
7, l ’ allenatore vuole migliorare la squadra ., the coach wants to improve the team ., l ’ allenatore convince i giocatori loro allenarsi ., the coach persuades the players them to train ., l ’ allenatore convince i giocatori allenarsi ., the coach persuades the players to train ., allenarsi, loro
8, il cliente esita a firmare il contratto ., the client hesitates to sign the contract ., l ’ agente spinge il cliente lui firmare ., the agent pushes the client him to sign ., l ’ agente spinge il cliente firmare ., the agent pushes the client to sign ., firmare, lui
9, i cittadini ignorano le nuove regole ., the citizens ignore the new rules ., il governo obbliga i cittadini loro rispettarle ., the government obliges the citizens them to respect them ., il governo obbliga i cittadini rispettarle ., the government obliges the citizens to respect them ., rispettarle, loro
10, i volontari rifiutano di pulire il parco ., the volunteers refuse to clean the park ., l ’ organizzatore persuade i volontari loro collaborare ., the organizer persuades the volunteers them to cooperate ., l ’ organizzatore persuade i volontari collaborare ., the organizer persuades the volunteers to cooperate ., collaborare, loro
11, l ’ artista non vuole mostrare i suoi quadri ., the artist doesn ’ t want to show their paintings ., il gallerista induce l ’ artista lui esporre ., the gallery owner induces the artist him to exhibit ., il gallerista induce l ’ artista esporre ., the gallery owner induces the artist to exhibit ., esporre, lui
12, i prigionieri tentano di ribellarsi ., the prisoners are trying to rebel ., la guardia impedisce ai prigionieri loro reagire ., the guard prevents the prisoners them to react ., la guardia impedisce ai prigionieri reagire ., the guard prevents the prisoners to react ., reagire, loro
