item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, i turisti hanno perso l ’ autobus ., the tourists missed the bus ., loro hanno chiamato un taxi ., they called a taxi ., hanno chiamato un taxi ., called a taxi ., hanno, called
2, le chiavi sono sparite ., the keys disappeared ., loro erano sul tavolo ieri ., they were on the table yesterday ., erano sul tavolo ieri ., were on the table yesterday ., erano, were
3, gli studenti hanno protestato ., the students protested ., loro vogliono più risorse ., they want more resources ., vogliono più risorse ., want more resources ., vogliono, want
4, i documenti sono pronti ., the documents are ready ., loro saranno firmati domani ., they will be signed tomorrow ., saranno firmati domani ., will be signed tomorrow ., saranno, will
5, i bambini hanno finito i compiti ., the children finished their homework ., loro possono giocare ora ., they can play now ., possono giocare ora ., can play now ., possono, can
6, le piante sono appassite ., the plants wilted ., loro non hanno avuto acqua ., they didn ’ t get water ., non hanno avuto acqua ., didn ’ t get water ., non hanno, didn ' t
7, i colleghi hanno criticato il piano ., the colleagues criticized the plan ., loro preferiscono un ’ altra opzione ., they prefer another option ., preferiscono un ’ altra opzione ., prefer another option ., preferiscono, prefer
8, le finestre erano aperte ., the windows were open ., loro hanno lasciato entrare il freddo ., they let the cold in ., hanno lasciato entrare il freddo ., let the cold in ., hanno, let
9, gli ospiti sono arrivati ., the guests have arrived ., loro stanno aspettando in sala ., they are waiting in the lounge ., stanno aspettando in sala ., are waiting in the lounge ., stanno, are
10, le email contengono errori ., the emails contain mistakes ., loro devono essere corrette ., they need to be corrected ., devono essere corrette ., need to be corrected ., devono, need
11, i libri sono caduti ., the books fell ., loro erano sullo scaffale alto ., they were on the high shelf ., erano sullo scaffale alto ., were on the high shelf ., erano, were
12, le scarpe sono bagnate ., the shoes are wet ., loro hanno preso la pioggia ., they got caught in the rain ., hanno preso la pioggia ., got caught in the rain ., hanno, got
