item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, cercavi qualcuno ?,  were you looking for someone ?, ci è il ragazzo che cercavi .,  it is the guy you were looking for ., è il ragazzo che cercavi .,  is the guy you were looking for ., è, is
2, hai perso qualcosa ?,  did you lose something ?, ci è la chiave che mancava .,  it is the key that was missing ., è la chiave che mancava .,  is the key that was missing ., è, is
3, servono volontari .,  volunteers are needed ., ci è lui che può aiutare .,  it is he who can help ., è lui che può aiutare .,  is he who can help ., è, is
4, c ’ è rumore in strada .,  there ’ s noise in the street ., ci è un ’ auto che suona il clacson .,  it is a car honking its horn ., è un ’ auto che suona il clacson .,  is a car honking its horn ., è, is
5, manca un documento .,  a document is missing ., ci è il passaporto che serve .,  it is the passport that ’ s needed ., è il passaporto che serve .,  is the passport that ’ s needed ., è, is
6, serve una soluzione .,  a solution is needed ., ci è questa l ’ idea migliore .,  it is this the best idea ., è questa l ’ idea migliore .,  is this the best idea ., è, is
7, cercate un ristorante ?,  are you looking for a restaurant ?, ci è quello che vi piace .,  it is the one you like ., è quello che vi piace .,  is the one you like ., è, is
8, serve più tempo .,  more time is needed ., ci è oggi il giorno giusto .,  it is today the right day ., è oggi il giorno giusto .,  is today the right day ., è, is
9, c ’ è un problema .,  there ’ s a problem ., ci è luca che può risolverlo .,  it is luca who can fix it ., è luca che può risolverlo .,  is luca who can fix it ., è, is
10, serve un esperto .,  an expert is needed ., ci è marco che sa tutto .,  it is marco who knows everything ., è marco che sa tutto .,  is marco who knows everything ., è, is
11, mancano delle firme .,  some signatures are missing ., ci è il direttore che deve firmare .,  it is the director who must sign ., è il direttore che deve firmare .,  is the director who must sign ., è, is
12, c ’ è confusione .,  there ’ s confusion ., ci è lei che ha sbagliato .,  it is her who made a mistake ., è lei che ha sbagliato .,  is her who made a mistake ., è, is
