item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, la luce si spegne spesso ., the light turns off often ., ci sembra che la luce si spenga ., it seems that the light turns off ., sembra che la luce si spenga ., seems that the light turns off ., sembra, seems
2, i risultati sono chiari ., the results are clear ., ci pare che i risultati siano chiari ., it seems that the results are clear ., pare che i risultati siano chiari ., seems that the results are clear ., pare, seems
3, il rumore aumenta ., the noise increases ., ci appare che il rumore aumenti ., it appears that the noise increases ., appare che il rumore aumenti ., appears that the noise increases ., appare, appears
4, la situazione peggiora ., the situation worsens ., ci risulta che la situazione peggiori ., it turns out that the situation worsens ., risulta che la situazione peggiori ., turns out that the situation worsens ., risulta, turns out
5, i prezzi salgono ., the prices rise ., ci sembra che i prezzi salgano ., it seems that the prices rise ., sembra che i prezzi salgano ., seems that the prices rise ., sembra, seems
6, la temperatura scende ., the temperature drops ., ci pare che la temperatura scenda ., it seems that the temperature drops ., pare che la temperatura scenda ., seems that the temperature drops ., pare, seems
7, il progetto avanza ., the project progresses ., ci appare che il progetto avanzi ., it appears that the project progresses ., appare che il progetto avanzi ., appears that the project progresses ., appare, appears
8, le discussioni continuano ., the discussions continue ., ci risulta che le discussioni continuino ., it turns out that the discussions continue ., risulta che le discussioni continuino ., turns out that the discussions continue ., risulta, turns out
9, il traffico rallenta ., the traffic slows ., ci sembra che il traffico rallenti ., it seems that the traffic slows ., sembra che il traffico rallenti ., seems that the traffic slows ., sembra, seems
10, le richieste crescono ., the requests grow ., ci pare che le richieste crescano ., it seems that the requests grow ., pare che le richieste crescano ., seems that the requests grow ., pare, seems
11, il problema persiste ., the problem persists ., ci appare che il problema persista ., it appears that the problem persists ., appare che il problema persista ., appears that the problem persists ., appare, appears
12, le scadenze si avvicinano ., the deadlines approach ., ci risulta che le scadenze si avvicinino ., it turns out that the deadlines approach ., risulta che le scadenze si avvicinino ., turns out that the deadlines approach ., risulta, turns out
