item,c_italian,c_english,t_null_italian,t_null_english,t_overt_italian,t_overt_english,hotspot_italian,hotspot_english
1, marco è timido ma ha bisogno di aiuto ., marco is shy but needs help ., marco osa chiedere aiuto ., marco dares to ask help ., marco osa lui chiedere aiuto ., marco dares him to ask help ., chiedere, to ask
2, i nonni amano esplorare posti nuovi ., the grandparents love exploring new places ., i nonni preferiscono viaggiare ., the grandparents prefer to travel ., i nonni preferiscono loro viaggiare ., the grandparents prefer them to travel ., viaggiare, to travel
3, laura ha urgente bisogno di parlare col capo ., laura urgently needs to speak with the boss ., laura tenta telefonare ., laura attempts to call ., laura tenta lei telefonare ., laura attempts her to call ., telefonare, to call
4, gli studenti sono nervosi per l ’ esame ., the students are nervous about the exam ., gli studenti evitano parlare ., the students avoid to speak ., gli studenti evitano loro parlare ., the students avoid them to speak ., parlare, to speak
5, il bambino è stanco dopo aver pianto per ore ., the child is tired after crying for hours ., il bambino smette piangere ., the child stops to cry ., il bambino smette lui piangere ., the child stops him to cry ., piangere, to cry
6, siamo esausti dopo la riunione ., we ’ re exhausted after the meeting ., noi desideriamo partire ., we wish to leave ., noi desideriamo noi partire ., we wish us to leave ., partire, to leave
7, giovanni vuole vincere il torneo ., giovanni wants to win the tournament ., giovanni spera vincere ., giovanni hopes to win ., giovanni spera lui vincere ., giovanni hopes him to win ., vincere, to win
8, le ragazze amano cantare insieme ., the girls love singing together ., le ragazze cominciano cantare ., the girls start to sing ., le ragazze cominciano loro cantare ., the girls start them to sing ., cantare, to sing
9, mario ha paura di sbagliare ., mario is afraid of making mistakes ., mario prova correggere gli errori ., mario tries to correct the mistakes ., mario prova lui correggere gli errori ., mario tries him to correct the mistakes ., correggere, to correct
10, i turisti vogliono evitare la folla ., the tourists want to avoid the crowd ., i turisti scelgono visitare di mattina ., the tourists choose to visit in the morning ., i turisti scelgono loro visitare di mattina ., the tourists choose them to visit in the morning ., visitare, to visit
11, lucia odia alzarsi presto ., lucia hates waking up early ., lucia rifiuta svegliarsi all ’ alba ., lucia refuses to wake up at dawn ., lucia rifiuta lei svegliarsi all ’ alba ., lucia refuses her to wake up at dawn ., svegliarsi, to wake
12, gli atleti devono allenarsi ogni giorno ., the athletes must train every day ., gli atleti continuano esercitarsi ., the athletes continue to train ., gli atleti continuano loro esercitarsi ., the athletes continue them to train ., esercitarsi, to train
