item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, abbiamo esaminato il contratto ., we reviewed the contract ., noi concordiamo con i termini ., we agree with the terms ., concordiamo con i termini ., agree with the terms ., concordiamo, agree
2, abbiamo visitato la nuova sede ., we visited the new office ., noi apprezziamo lo spazio moderno ., we appreciate the modern space ., apprezziamo lo spazio moderno ., appreciate the modern space ., apprezziamo, appreciate
3, abbiamo ascoltato la presentazione ., we listened to the presentation ., noi condividiamo le sue conclusioni ., we share his conclusions ., condividiamo le sue conclusioni ., share his conclusions ., condividiamo, share
4, abbiamo provato il ristorante ., we tried the restaurant ., noi preferiamo i piatti tradizionali ., we prefer the traditional dishes ., preferiamo i piatti tradizionali ., prefer the traditional dishes ., preferiamo, prefer
5, abbiamo discusso il progetto ., we discussed the project ., noi sosteniamo questa strategia ., we support this strategy ., sosteniamo questa strategia ., support this strategy ., sosteniamo, support
6, abbiamo ricevuto il feedback ., we received the feedback ., noi accettiamo le critiche costruttive ., we accept the constructive criticism ., accettiamo le critiche costruttive ., accept the constructive criticism ., accettiamo, accept
7, abbiamo finito l ’ allenamento ., we finished the workout ., noi sentiamo i muscoli affaticati ., we feel our muscles tired ., sentiamo i muscoli affaticati ., feel our muscles tired ., sentiamo, feel
8, abbiamo analizzato i dati ., we analyzed the data ., noi confermiamo le tendenze iniziali ., we confirm the initial trends ., confermiamo le tendenze iniziali ., confirm the initial trends ., confermiamo, confirm
9, abbiamo visto il documentario ., we watched the documentary ., noi crediamo nel suo messaggio ., we believe in its message ., crediamo nel suo messaggio ., believe in its message ., crediamo, believe
10, abbiamo incontrato il team ., we met the team ., noi notiamo una grande collaborazione ., we notice great teamwork ., notiamo una grande collaborazione ., notice great teamwork ., notiamo, notice
11, abbiamo superato gli ostacoli ., we overcame the obstacles ., noi celebriamo questo successo ., we celebrate this success ., celebriamo questo successo ., celebrate this success ., celebriamo, celebrate
12, abbiamo pianificato la riunione ., we planned the meeting ., noi suggeriamo un orario diverso ., we suggest a different time ., suggeriamo un orario diverso ., suggest a different time ., suggeriamo, suggest
